10:15:16,101,[537],39.0,96
10:15:17,101,[323],153.81,96
10:15:18,101,[1199],521.12,96
10:15:19,101,[1199],521.12,96
10:15:20,100,[1199],521.12,95
10:15:21,100,[1199],521.12,95
10:15:22,99,[1199],521.12,94
10:15:23,99,[383],485.67,94
10:15:24,103,[833],479.91,98
10:15:25,102,[375],421.01,97
10:15:27,101,[464],400.39,96
10:15:27,101,[816],396.24,96
10:15:28,101,[1093],387.7,96
10:15:29,101,[1093],387.7,96
10:15:30,101,[656],579.45,96
10:15:31,101,[359],551.27,96
10:15:32,101,[257],516.02,96
10:15:33,101,[781],529.76,96
10:15:34,101,[644],488.83,96
10:15:35,101,[625],469.02,96
10:15:36,101,[625],469.02,96
10:15:37,101,[628],506.98,96
10:15:38,101,[511],499.16,96
10:15:39,101,[617],500.19,96
10:15:40,101,[378],446.45,96
10:15:41,101,[617],314.44,96
10:15:42,101,[632],300.99,96
10:15:43,101,[457],302.03,96
10:15:44,94,[687],280.1,89
10:15:45,94,[628],278.45,89
10:15:46,95,[613],278.34,90
10:15:47,95,[625],278.07,90
10:15:48,95,[628],166.92,90
10:15:50,95,[628],158.76,90
10:15:51,95,[628],157.53,90
10:15:52,96,[625],130.73,91
10:15:53,96,[621],126.96,91
10:15:54,97,[617],113.86,92
10:15:55,97,[613],67.43,92
10:15:56,97,[600],44.03,92
10:15:57,97,[601],14.71,92
10:15:58,97,[617],6.64,92
10:15:59,97,[617],6.38,92
10:16:01,97,[625],5.83,92
10:16:01,99,[631],5.92,94
10:16:02,98,[621],8.19,93
10:16:03,96,[570],14.27,91
10:16:04,98,[1195],144.09,93
10:16:05,98,[750],176.59,93
10:16:06,95,[257],199.82,90
10:16:07,94,[394],226.65,89
10:16:08,95,[621],250.99,90
10:16:09,95,[675],251.3,90
10:16:10,97,[617],251.73,92
10:16:11,96,[632],251.76,91
10:16:12,96,[261],259.07,91
10:16:13,93,[1170],332.54,88
10:16:14,93,[390],356.66,88
10:16:15,94,[843],371.49,89
10:16:16,94,[643],345.77,89
10:16:17,94,[230],324.64,89
10:16:18,94,[656],326.95,89
10:16:19,94,[632],306.55,89
10:16:20,95,[617],302.89,90
10:16:21,94,[643],302.57,89
10:16:22,95,[582],302.89,90
10:16:23,95,[663],356.21,90
