09:53:08,71,[913],0,66
09:53:09,71,[875],38.0,66
09:53:10,71,[859],29.15,66
09:53:11,73,[839],22.91,68
09:53:12,72,[847],20.8,67
09:53:16,82,[706],60.61,77
09:53:16,81,[859],80.58,76
09:53:16,82,[453],119.2,77
09:53:16,84,[928],188.02,79
09:53:17,84,[386],215.65,79
09:53:18,83,[292],231.47,78
09:53:19,86,[292],231.47,81
09:53:20,86,[756],362.98,81
09:53:21,86,[253],365.28,81
09:53:22,86,[253],365.28,81
09:53:23,86,[1733],498.7,81
09:53:24,88,[832],539.84,83
09:53:27,89,[652],541.4,84
09:53:27,88,[635],540.44,83
09:53:27,89,[652],537.29,84
09:53:28,88,[952],539.68,83
09:53:29,88,[687],547.66,83
09:53:31,87,[683],536.29,82
09:53:32,84,[707],532.77,79
09:53:35,83,[781],526.63,78
09:53:36,91,[878],469.19,86
09:53:36,93,[339],453.77,88
09:53:36,92,[476],454.44,87
09:53:38,89,[393],223.98,84
09:53:39,87,[843],231.93,82
09:53:40,86,[870],231.98,81
09:53:41,83,[882],232.0,78
09:53:41,81,[750],233.95,76
09:53:41,79,[956],228.54,74
09:53:42,76,[867],189.8,71
09:53:43,77,[921],177.58,72
09:53:44,76,[871],177.8,71
09:53:45,77,[578],189.85,72
09:53:46,77,[1104],224.31,72
09:53:47,77,[769],236.07,72
09:53:48,77,[745],199.56,72
09:53:49,75,[761],191.17,70
09:53:50,74,[828],190.03,69
09:53:52,73,[928],187.86,68
09:53:52,71,[921],187.03,66
09:53:53,70,[949],179.68,65
09:53:55,69,[991],172.58,64
09:53:56,69,[1000],172.48,64
09:53:57,69,[902],173.92,64
09:53:58,68,[871],165.03,63
09:53:58,68,[953],164.84,63
09:53:59,67,[909],164.68,62
09:54:00,67,[921],164.69,62
09:54:02,66,[936],164.45,61
09:54:02,66,[980],150.42,61
09:54:03,66,[972],89.82,61
09:54:05,66,[897],49.57,61
09:54:05,66,[882],49.68,61
09:54:06,66,[914],50.01,61
09:54:07,67,[920],49.9,62
09:54:08,67,[898],47.74,62
09:54:09,66,[870],42.85,61
09:54:10,66,[941],45.39,61
09:54:11,65,[979],45.21,60
09:54:12,65,[933],46.38,60
09:54:13,65,[941],40.6,60
09:54:14,65,[971],39.68,60
09:54:15,65,[964],39.52,60
09:54:16,65,[914],36.6,60
09:54:17,64,[905],35.24,59
09:54:18,65,[957],37.11,60
09:54:19,65,[952],36.96,60
09:54:20,65,[894],37.97,60
09:54:21,64,[878],38.1,59
09:54:22,63,[963],39.19,58
09:54:23,63,[1042],43.04,58
09:54:24,63,[992],43.93,58
09:54:25,63,[967],44.28,58
09:54:26,64,[976],44.04,59
09:54:27,64,[902],46.54,59
09:54:28,64,[894],43.64,59
09:54:29,64,[893],42.76,59
09:54:30,63,[945],43.12,58
09:54:31,63,[968],43.4,58
09:54:32,62,[987],43.07,57
09:54:33,62,[1035],44.43,57
09:54:34,62,[1038],42.93,57
09:54:35,62,[968],45.79,57
09:54:36,63,[941],44.64,58
09:54:37,64,[948],44.65,59
09:54:38,64,[890],44.65,59
09:54:40,63,[882],44.54,58
09:54:41,64,[940],42.19,59
09:54:41,64,[964],38.5,59
09:54:42,64,[933],37.43,59
09:54:43,64,[924],37.05,59
09:54:44,64,[953],37.58,59
09:54:45,65,[898],34.67,60
09:54:46,65,[890],34.67,60
09:54:47,65,[901],34.76,60
09:54:48,65,[921],32.97,60
09:54:49,64,[875],34.21,59
09:54:50,64,[924],35.75,59
09:54:51,64,[1035],42.48,59
09:54:52,64,[999],43.27,59
09:54:53,64,[945],42.05,59
09:54:54,64,[949],41.6,59
09:54:56,64,[952],41.58,59
09:54:57,65,[910],40.55,60
09:54:57,64,[886],40.88,59
09:54:58,65,[937],39.6,60
09:54:59,65,[941],38.97,60
09:55:00,64,[913],39.44,59
09:55:01,64,[941],39.4,59
09:55:02,64,[952],39.37,59
09:55:03,64,[972],38.45,59
09:55:04,64,[941],39.06,59
09:55:05,64,[924],39.17,59
09:55:06,64,[925],38.9,59
09:55:07,63,[972],38.97,58
09:55:08,64,[983],37.39,59
09:55:09,63,[960],27.89,58
09:55:10,63,[928],27.63,58
09:55:11,63,[957],25.58,58
09:55:12,63,[992],26.79,58
09:55:13,64,[959],27.83,59
09:55:14,63,[902],29.2,58
09:55:15,64,[936],29.17,59
09:55:16,64,[976],28.86,59
09:55:17,63,[928],30.88,58
09:55:18,63,[929],30.2,58
09:55:19,63,[968],30.84,58
09:55:20,63,[1014],32.5,58
09:55:21,63,[972],33.58,58
09:55:22,63,[937],33.79,58
09:55:23,63,[936],33.57,58
09:55:24,63,[929],33.6,58
09:55:25,62,[979],33.83,57
09:55:26,62,[972],33.77,57
09:55:27,61,[1019],35.06,56
09:55:28,61,[1049],34.97,56
09:55:29,61,[1027],34.7,56
09:55:30,61,[991],34.75,56
09:55:31,62,[988],33.92,57
09:55:32,62,[976],31.42,57
09:55:33,63,[916],34.13,58
09:55:34,62,[898],34.1,57
09:55:35,62,[914],33.05,57
09:55:36,62,[987],35.38,57
09:55:37,62,[1019],36.13,57
09:55:38,62,[963],37.29,57
09:55:39,61,[992],36.38,56
09:55:40,62,[1011],35.35,57
09:55:41,63,[991],34.73,58
09:55:42,63,[937],36.87,58
09:55:43,64,[893],36.63,59
09:55:44,64,[906],36.72,59
09:55:45,65,[916],35.17,60
09:55:46,65,[859],36.89,60
09:55:47,65,[867],36.59,60
09:55:48,65,[932],38.64,60
09:55:50,65,[945],38.75,60
09:55:51,66,[902],39.89,61
09:55:52,66,[874],37.98,61
09:55:53,66,[898],38.16,61
09:55:54,66,[905],34.48,61
09:55:55,67,[871],34.58,62
09:55:56,67,[871],32.1,62
09:55:57,67,[881],31.49,62
