Laiks,Pulss_BPM,RR_Intervali_ms,Stavoklis
20:55:47,73,[788],0,68
20:55:48,72,"[773, 800]",27.0,67
20:55:49,72,[850],0,67
20:55:50,71,[878],0,66
20:55:51,70,[875],0,65
20:55:52,70,[905],0,65
20:55:53,70,[929],0,65
20:55:54,70,[894],0,65
20:55:55,70,[885],0,65
20:55:56,70,"[878, 854]",24.0,65
20:55:57,69,[859],0,64
20:55:58,69,[863],0,64
20:55:59,70,[885],0,65
20:56:00,70,[851],0,65
20:56:02,73,[859],0,68
20:56:02,72,"[889, 289]",600.0,67
20:56:03,72,"[589, 898]",309.0,67
20:56:04,72,[889],0,67
20:56:05,72,[847],0,67
20:56:06,72,[839],0,67
20:56:07,72,[854],0,67
20:56:08,72,[843],0,67
20:56:09,72,"[824, 834]",10.0,67
20:56:10,72,[835],0,67
20:56:11,72,[824],0,67
20:56:12,71,[811],0,66
20:56:13,71,[843],0,66
20:56:14,71,"[878, 870]",8.0,66
20:56:15,71,[851],0,66
20:56:16,72,[832],0,67
20:56:17,72,[827],0,67
20:56:18,72,[824],0,67
20:56:19,71,"[800, 831]",31.0,66
20:56:21,71,[867],0,66
20:56:21,71,[855],0,66
20:56:22,71,[874],0,66
20:56:23,72,[871],0,67
20:56:24,72,[839],0,67
20:56:25,73,"[831, 792]",39.0,68
20:56:26,73,[789],0,68
20:56:27,73,[776],0,68
20:56:28,72,[796],0,67
20:56:29,72,"[816, 858]",42.0,67
20:56:30,71,[871],0,66
20:56:31,71,[871],0,66
20:56:32,70,[885],0,65
20:56:33,71,[898],0,66
20:56:34,71,[875],0,66
20:56:35,71,"[838, 832]",6.0,66
20:56:36,71,[835],0,66
20:56:37,71,[827],0,66
20:56:38,70,[851],0,65
20:56:39,70,[875],0,65
20:56:40,69,[897],0,64
20:56:41,68,[894],0,63
20:56:43,68,"[913, 929]",16.0,63
20:56:43,68,[894],0,63
20:56:44,68,[881],0,63
20:56:45,69,[890],0,64
20:56:46,69,[863],0,64
20:56:47,69,[827],0,64
20:56:48,69,[832],0,64
20:56:49,69,"[843, 889]",46.0,64
20:56:50,71,[875],0,66
20:56:51,70,[871],0,65
20:56:52,71,[729],0,66
20:56:53,73,[964],0,68
20:56:54,74,"[816, 803]",13.0,69
20:56:55,75,[785],0,70
20:56:56,76,[757],0,71
20:56:57,76,[745],0,71
20:56:58,76,"[757, 765]",8.0,71
20:56:59,76,[768],0,71
20:57:00,76,[792],0,71
21:15:52,78,[],0,73
21:15:53,78,[2943],0,73
21:15:54,78,[470],2473.0,73
21:15:55,78,[756],1760.33,73
21:15:56,78,[756],1760.33,73
21:15:57,78,[756],1760.33,73
21:15:58,80,[756],1760.33,75
21:15:59,81,[756],1760.33,76
21:16:00,81,[699],1245.12,76
21:16:01,81,[714],1113.69,76
21:16:02,81,[718],1016.65,76
21:16:03,79,[734],880.47,74
21:16:04,78,[777],830.23,73
21:16:05,76,[842],787.9,71
21:16:06,75,[910],751.51,70
21:16:07,74,[929],719.54,69
21:16:08,74,[913],691.32,69
21:16:09,75,[819],643.89,70
21:16:10,76,[808],623.45,71
21:16:11,76,[441],594.13,71
21:16:12,76,[339],578.75,71
21:16:13,75,[823],159.39,70
21:16:14,74,[527],165.09,69
21:16:16,72,[1299],242.12,67
21:16:16,71,[941],255.64,66
21:16:17,71,[936],255.64,66
21:16:18,70,[917],255.66,65
21:16:19,70,[894],255.71,65
21:16:20,70,[901],255.52,65
21:16:21,70,[890],255.1,65
21:16:22,70,[863],254.7,65
21:16:23,70,[843],254.73,65
21:16:24,70,[859],254.19,65
21:16:25,69,[870],254.16,64
21:16:26,69,[871],254.15,64
21:16:27,70,[920],254.4,65
21:16:28,72,[921],240.06,67
21:16:29,72,[803],212.41,67
21:16:30,74,[250],219.27,69
21:16:32,75,[828],185.19,70
21:16:32,73,[503],211.83,68
21:16:33,75,[437],212.31,70
21:16:34,76,[1019],250.8,71
21:16:35,77,[734],259.63,72
21:16:37,78,[738],259.55,73
21:16:38,78,[729],259.55,73
21:16:38,79,[738],259.51,74
21:16:41,80,[742],259.52,75
21:16:41,80,[741],259.27,75
21:16:41,81,[722],258.95,76
21:16:42,81,[721],258.58,76
21:16:43,81,[710],239.91,76
21:16:44,79,[730],199.99,74
21:16:45,77,[764],198.88,72
21:16:48,76,[875],164.92,71
21:16:48,74,[921],153.21,69
21:16:48,72,[932],152.49,67
21:16:49,71,[968],74.11,66
21:16:50,71,[914],32.97,66
21:16:52,71,[902],33.07,66
21:16:52,71,[877],33.5,66
21:16:53,71,[839],34.61,66
21:16:54,73,[824],34.74,68
21:16:55,73,[827],34.73,68
21:16:56,73,[304],95.48,68
21:16:57,74,[811],150.49,69
21:16:58,74,[800],150.5,69
21:16:59,73,[796],150.5,68
21:17:00,72,[811],150.47,67
21:17:01,71,[886],148.59,66
21:17:02,71,[889],148.22,66
21:17:03,71,[886],148.2,66
21:17:04,71,[878],147.98,66
21:17:05,71,[877],147.98,66
21:17:06,73,[843],147.68,68
21:17:08,73,[885],152.59,68
21:17:08,74,[742],155.83,69
21:17:09,74,[761],155.85,69
21:17:10,73,[792],156.01,68
